Station	VSCIAll
9-RHC002.85	58.85
9-RIC038.67	80.19615651
9-RIC051.80	53.49127381
9-SFK001.10	62.54307406
9-SFK002.81	63.53595468
9-SFK003.38	70.11499511
9-SMN001.14	68.04
9-SNC008.04	77.66227877
9-SNK019.59	81.8619869
9-TOM006.92	71.805
9-WFC010.66	72.8844746
9-WFC044.15	77.27485809
9-WLK016.78	68.365
9-WLK024.17	66.51747
9-WLK026.82	63.41436782
9-WLK033.29	60.86
9-WLK035.52	67.60168005
9-WLK052.27	68.005
9-WNS001.03	61.595
9-XDP000.65	56.06203282
9-XEO000.57	75.12287
9-XES000.94	45.95676618
9-XFH000.92	29.545
