"siteID","Year","Longitude-DD","Latitude-DD","finalweight_all","TN","TP","TDS","LRBS","TotHab","VSCIVCPMI","MetalCCU","VSCIstatus","TotHabstatus","TNstatus","TPstatus","TDSstatus","MetalCCUstatus","LRBSstatus"
"2-BLB002.04",2003,-77.013145,37.181987,54.1782178217822,0.65,0.02,119,NA,138,79.74627884,0.4398,"Good",NA,"Good","Good",NA,"Good",NA
"2-CAT026.55",2003,-80.016356,37.439488,37.956487804878,0.2,0.01,177,NA,118.5,46.90739435,0.2121,"Poor","Poor","Good","Good",NA,"Good",NA
"2-HAK004.34",2003,-78.588165,37.909706,37.956487804878,0.52,0.02,35,NA,121,65.17872044,0.6908,"Good",NA,"Good","Good","Good","Good",NA
"2-JKS070.97",2003,-79.845244,38.07009,37.956487804878,0.53,0.01,79,NA,NA,73.77086474,0.3682,"Good",NA,"Good","Good","Good","Good",NA
"2-MFK002.21",2003,-78.174263,37.920141,37.956487804878,0.41,0.03,49,NA,154.5,57.72884686,1.486,NA,"Good","Good",NA,"Good",NA,NA
"2-NWD004.15",2003,-77.751299,37.576421,37.956487804878,0.52,0.03,52,NA,110,64.66844291,0.8395,"Good","Poor","Good",NA,"Good","Good",NA
"2-PTR005.13",2003,-79.890103,37.622641,54.1782178217822,0.2,0.01,23,NA,166,66.96129106,0.6739,"Good","Good","Good","Good","Good","Good",NA
"2-VNS002.45",2003,-78.58031,37.355768,37.956487804878,0.31,0.01,68,NA,95,58.71124308,0.7884,NA,"Poor","Good","Good","Good","Good",NA
"2-XSB000.88",2003,-79.561246,37.725871,218.379530916844,0.4,0.03,85,NA,163,67.86650066,0.3107,"Good","Good","Good",NA,"Good","Good",NA
"2-XUD000.15",2003,-77.177178,37.384822,54.1782178217822,0.6,0.01,52,NA,146,55.52141588,4.865,NA,NA,"Good","Good","Good","Poor",NA
"2-XUE000.31",2003,-77.882395,37.366027,218.379530916844,0.57,0.03,61,NA,89,33.1923545,0.8104,"Poor","Poor","Good",NA,"Good","Good",NA
"3-BLK001.92",2003,-77.064188,38.028861,37.956487804878,0.6,0.03,51,NA,156,47.55384259,1.004,"Poor","Good","Good",NA,"Good",NA,NA
"3-CRC001.38",2003,-76.899989,37.899715,54.1782178217822,0.36,0.01,41,NA,145,42.78598762,2.125,"Poor",NA,"Good","Good","Good","Poor",NA
"3-JOA002.68",2003,-77.905972,38.494275,54.1782178217822,3.45,0.03,127,NA,132,39.08049413,0.5121,"Poor",NA,"Poor",NA,NA,"Good",NA
"3-MTN003.31",2003,-77.796595,38.455726,37.956487804878,1.37,0.08,119,NA,158,49.55747253,1.076,"Poor","Good",NA,"Poor",NA,NA,NA
"4ABAN026.65",2003,-79.056392,36.869432,11.4655761589404,0.37,0.02,73,NA,148,63.25238824,0.7364,"Good",NA,"Good","Good","Good","Good",NA
"4ABOR033.22",2003,-79.463131,37.385079,24.9902078651685,0.45,0.02,47,NA,160,71.10062616,0.656,"Good","Good","Good","Good","Good","Good",NA
"4ABWA008.53",2003,-79.27304,37.28941,37.956487804878,0.65,0.01,77,NA,151,35.43285115,0.8689,"Poor","Good","Good","Good","Good","Good",NA
"4AEIS002.07",2003,-78.85312,36.962866,54.1782178217822,0.3,0.01,91,NA,107,71.98403131,0.5661,"Good","Poor","Good","Good","Good","Good",NA
"4AFRY006.08",2003,-79.447365,36.94797,54.1782178217822,0.59,0.03,34,NA,144,37.75688091,0.9576,"Poor",NA,"Good",NA,"Good","Good",NA
"4AHRN007.65",2003,-80.01521,36.660962,54.1782178217822,0.35,0.02,67,NA,144.5,54.80744298,0.9918,NA,NA,"Good","Good","Good","Good",NA
"4AMCG000.56",2003,-79.573459,36.561666,37.956487804878,0.3,0.01,62,NA,123,51.35451172,0.7684,NA,NA,"Good","Good","Good","Good",NA
"4ASRE020.75",2003,-79.821656,36.627969,11.4655761589404,0.45,0.03,69,NA,166,39.42359798,0.8978,"Poor","Good","Good",NA,"Good","Good",NA
"4AXML000.56",2003,-79.882747,37.160625,218.379530916844,1.08,0.05,47,NA,145,23.25096615,0.7145,"Poor",NA,NA,NA,"Good","Good",NA
"5ABLC000.88",2003,-76.901773,36.769463,37.956487804878,1.22,0.05,72,NA,165,51.2091701,2.69,NA,"Good",NA,NA,"Good","Poor",NA
"5AFON024.32",2003,-77.57576,36.620099,24.9902078651685,0.72,0.04,63,NA,134,73.46930983,1.321,"Good",NA,"Good",NA,"Good",NA,NA
"5AMHN097.83",2003,-78.063078,36.780546,11.4655761589404,0.3,0.01,67,NA,80,63.12,0.6768,"Good","Poor","Good","Good","Good","Good",NA
"5ANTW097.27",2003,-77.627776,36.882313,24.9902078651685,0.55,0.04,69,NA,NA,55.09887553,1.158,NA,NA,"Good",NA,"Good",NA,NA
"5ASAP004.00",2003,-77.484285,36.927286,24.9902078651685,0.55,0.02,58,NA,139,62.58374116,1.31,"Good",NA,"Good","Good","Good",NA,NA
"5AXET000.28",2003,-78.261003,36.936925,218.379530916844,0.5,0.03,98,NA,115,65.39643555,1.889,"Good","Poor","Good",NA,"Good",NA,NA
"5BPCT002.16",2003,-76.10252,36.669939,37.956487804878,1.53,0.25,172,NA,164,41.5535742,1.117,"Poor","Good",NA,"Poor",NA,NA,NA
"6ADIS013.73",2003,-81.914439,37.240618,37.956487804878,0.29,0.01,215,NA,139.5,60.96547596,0.5196,"Good",NA,"Good","Good",NA,"Good",NA
"6ALLF002.19",2003,-82.270788,37.119896,218.379530916844,0.84,0.02,39,NA,116.5,53.08815779,0.7343,NA,"Poor","Good","Good","Good","Good",NA
"7-BBR001.31",2003,-75.774664,37.668002,218.379530916844,0.69,0.03,133,NA,147,50.86982256,1.952,NA,NA,"Good",NA,NA,NA,NA
"8-MPN046.13",2003,-77.122143,37.837631,11.4655761589404,1.21,0.06,56,NA,NA,66.32040314,1.42,"Good",NA,NA,"Poor","Good",NA,NA
"9-DDD006.61",2003,-80.318703,36.885443,54.1782178217822,0.43,0.01,57,NA,174,80.6385556,0.8909,"Good","Good","Good","Good","Good","Good",NA
"9-NBS006.58",2003,-80.930012,37.239376,54.1782178217822,0.4,0.01,6,NA,180,70.65832454,1.064,"Good","Good","Good","Good","Good",NA,NA
"9-PLM000.35",2003,-80.523953,37.131652,54.1782178217822,1.3,0.01,316,NA,116,76.16106658,0.3266,"Good","Poor",NA,"Good",NA,"Good",NA
"9-SNK019.59",2003,-80.410891,37.341549,24.9902078651685,0.74,0.01,134,NA,150,81.8619869,0.2668,"Good",NA,"Good","Good",NA,"Good",NA
"9-WLK026.82",2003,-80.805756,37.198573,11.4655761589404,0.65,0.02,81,NA,186.5,63.41436782,0.379,"Good","Good","Good","Good","Good","Good",NA
"9-XDP000.65",2003,-81.133152,36.666522,218.379530916844,0.48,0.02,30,NA,156,56.06203282,0.6298,NA,"Good","Good","Good","Good","Good",NA
"1ANOG000.91",2004,-77.659837,39.04457,11.4655761589404,1.35,0.05,103,-0.624,159.5,67.95278259,0.5223,"Good","Good",NA,NA,NA,"Good",NA
"1AXJS001.20",2004,-78.265696,39.324308,218.379530916844,0.37,0.01,37,NA,155,66.11521523,0.932,"Good","Good","Good","Good","Good","Good",NA
"1BCDR027.54",2004,-78.459793,39.021724,37.956487804878,0.54,0.015,71,-0.085,170,77.08625357,0.5663,"Good","Good","Good","Good","Good","Good","Good"
"2-BRI007.80",2004,-78.424088,37.222551,37.956487804878,0.4,0.03,56,-1.368,163,38.53168593,0.7008,"Poor","Good","Good",NA,"Good","Good","Poor"
"2-DCK003.94_2004",2004,-80.348271,37.463344,13.5445544554455,0.16,0.015,13,-0.303,174.5,72.09987688,0.9974,"Good","Good","Good","Good","Good","Good","Good"
"2-DDY000.75_2004",2004,-79.37635,38.177194,54.5948827292111,0.44,0.01,26,-0.071,181.5,72.21764562,0.5875,"Good","Good","Good","Good","Good","Good","Good"
"2-FLA012.22",2004,-78.047644,37.391419,37.956487804878,0.48,0.035,87,-2.159,145,63.96354283,0.7005,"Good",NA,"Good",NA,"Good","Good","Poor"
"2-HUS001.88",2004,-78.345295,37.689468,54.1782178217822,0.24,0.015,69,-0.245,156.5,70.01788558,0.5868,"Good","Good","Good","Good","Good","Good","Good"
"2-JKS028.69_2004",2004,-79.989366,37.822691,3.8218587196468,0.43,0.01,95,NA,183.5,79.40015394,0.3352,"Good","Good","Good","Good","Good","Good",NA
