"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"Region","New","VSCIVCPMI","90Pct",59,79.0200076827155,"",74.6849198462632,81.8619869
"Region","New","VSCIVCPMI","95Pct",63,80.7226898822008,"",78.1824171430934,81.8619869
"Region","New","VSCIVCPMI","99Pct",63,81.2339206875554,"",79.4761543307766,81.8619869
"Region","New","VSCIVCPMI","Mean",65,62.2718716886303,"2.21710292104713",57.9264298133594,66.6173135639012
"Region","New","VSCIVCPMI","Variance",65,207.850946388006,"44.3172425764228",120.990747044092,294.711145731919
"Region","New","VSCIVCPMI","Std. Deviation",65,14.4170366715218,"1.53697474682724",11.4046215225929,17.4294518204508
"Region","Chowan","VSCIVCPMI","1Pct",1,18.105,"",18.105,21.8766439211563
"Region","Chowan","VSCIVCPMI","5Pct",1,18.105,"",18.105,30.8321907105564
"Region","Chowan","VSCIVCPMI","10Pct",2,21.91201349051,"",18.105,38.7417399779545
"Region","Chowan","VSCIVCPMI","15Pct",4,33.5542089142035,"",18.105,41.3129172216142
"Region","Chowan","VSCIVCPMI","20Pct",9,39.9739270698146,"",21.5176571814346,44.5510968882726
"Region","Chowan","VSCIVCPMI","25Pct",10,40.9542326969678,"",22.3031492062416,46.708267477687
"Region","Chowan","VSCIVCPMI","30Pct",13,42.7127781066151,"",34.0357328141841,54.5853698479792
"Region","Chowan","VSCIVCPMI","35Pct",18,46.0463902186951,"",40.057596021317,54.7318930418284
"Region","Chowan","VSCIVCPMI","40Pct",19,46.7533727843974,"",40.9781734230152,56.3557400478519
"Region","Chowan","VSCIVCPMI","45Pct",24,54.6706637791772,"",42.5546799583456,57.4624312417319
"Region","Chowan","VSCIVCPMI","50Pct",25,54.7330918140731,"",45.9465627510197,58.7822706549373
"Region","Chowan","VSCIVCPMI","55Pct",31,56.3879455462636,"",46.771377118583,59.8782921156001
"Region","Chowan","VSCIVCPMI","60Pct",31,57.4097547796397,"",54.7132115543569,61.8597696004268
"Region","Chowan","VSCIVCPMI","65Pct",33,58.7377921897263,"",54.7509194762803,63.1427930959011
